TimeStamp,Source,Parameter,Units,Value
2021-10-30 00:00:00,LAKE-2,COTONS,TONS,0.003729943
2021-11-01 00:00:00,LAKE-2,COTONS,TONS,0.00555918
2021-11-02 00:00:00,LAKE-2,COTONS,TONS,0.000159828
2021-12-01 00:00:00,LAKE-2,COTONS,TONS,0.000273735
2021-12-02 00:00:00,LAKE-2,COTONS,TONS,0.000229908
2021-12-05 00:00:00,LAKE-2,COTONS,TONS,0.00231925
2021-12-06 00:00:00,LAKE-2,COTONS,TONS,0.01150981
2021-12-07 00:00:00,LAKE-2,COTONS,TONS,0.006981588
2021-12-08 00:00:00,LAKE-2,COTONS,TONS,0.005393959
2021-12-09 00:00:00,LAKE-2,COTONS,TONS,0.009104491
2021-12-17 00:00:00,LAKE-2,COTONS,TONS,0.008533507
2021-12-18 00:00:00,LAKE-2,COTONS,TONS,0.000244696
2021-12-27 00:00:00,LAKE-2,COTONS,TONS,0.003075087
2022-01-10 00:00:00,LAKE-2,COTONS,TONS,0.00843894
2022-01-11 00:00:00,LAKE-2,COTONS,TONS,0.004827108
2022-01-12 00:00:00,LAKE-2,COTONS,TONS,0.003656168
2022-01-26 00:00:00,LAKE-2,COTONS,TONS,0.01090455
2022-02-02 00:00:00,LAKE-2,COTONS,TONS,0.00857031
2022-02-03 00:00:00,LAKE-2,COTONS,TONS,0.023677893
2022-02-04 00:00:00,LAKE-2,COTONS,TONS,0.023846685
2022-02-05 00:00:00,LAKE-2,COTONS,TONS,0.006850509
2022-02-06 00:00:00,LAKE-2,COTONS,TONS,0.007827923
2022-02-07 00:00:00,LAKE-2,COTONS,TONS,0.00098385
2022-02-23 00:00:00,LAKE-2,COTONS,TONS,0.0211409
2022-02-24 00:00:00,LAKE-2,COTONS,TONS,0.000301948
2022-03-02 00:00:00,LAKE-2,COTONS,TONS,0.00651768
2022-03-03 00:00:00,LAKE-2,COTONS,TONS,0.000321893
2022-03-22 00:00:00,LAKE-2,COTONS,TONS,0.00186685
2022-03-23 00:00:00,LAKE-2,COTONS,TONS,0.000099975
2022-03-25 00:00:00,LAKE-2,COTONS,TONS,0.012940275
2022-03-26 00:00:00,LAKE-2,COTONS,TONS,0.026664736
2022-03-27 00:00:00,LAKE-2,COTONS,TONS,0.02295524
2022-03-28 00:00:00,LAKE-2,COTONS,TONS,0.033351906
2022-03-29 00:00:00,LAKE-2,COTONS,TONS,0.003223925
2022-03-30 00:00:00,LAKE-2,COTONS,TONS,0.007671998
2022-03-31 00:00:00,LAKE-2,COTONS,TONS,0.00889827
2022-04-09 00:00:00,LAKE-2,COTONS,TONS,0.014523272
2022-04-10 00:00:00,LAKE-2,COTONS,TONS,0.017101602
2022-04-11 00:00:00,LAKE-2,COTONS,TONS,0.01402153
2022-04-12 00:00:00,LAKE-2,COTONS,TONS,0.000080775
2022-04-14 00:00:00,LAKE-2,COTONS,TONS,0.010658943
2022-04-15 00:00:00,LAKE-2,COTONS,TONS,0.013690275
2022-04-16 00:00:00,LAKE-2,COTONS,TONS,0.013363197
2022-04-17 00:00:00,LAKE-2,COTONS,TONS,0.00890517
2022-04-18 00:00:00,LAKE-2,COTONS,TONS,0.017919265
2022-04-19 00:00:00,LAKE-2,COTONS,TONS,0.03695615
2022-04-20 00:00:00,LAKE-2,COTONS,TONS,0.018808993
2022-04-21 00:00:00,LAKE-2,COTONS,TONS,0.018806891
2022-04-22 00:00:00,LAKE-2,COTONS,TONS,0.022337513
2022-04-23 00:00:00,LAKE-2,COTONS,TONS,0.011367688
2022-04-24 00:00:00,LAKE-2,COTONS,TONS,0.015905636
2022-04-25 00:00:00,LAKE-2,COTONS,TONS,0.019754574
2022-04-26 00:00:00,LAKE-2,COTONS,TONS,0.026403136
2022-04-27 00:00:00,LAKE-2,COTONS,TONS,0.031851734
2022-04-28 00:00:00,LAKE-2,COTONS,TONS,0.02577436
2022-04-29 00:00:00,LAKE-2,COTONS,TONS,0.0410639
2022-04-30 00:00:00,LAKE-2,COTONS,TONS,0.0390174
2022-05-01 00:00:00,LAKE-2,COTONS,TONS,0.029505
2022-05-02 00:00:00,LAKE-2,COTONS,TONS,0.038720553
2022-05-03 00:00:00,LAKE-2,COTONS,TONS,0.023484063
2022-05-04 00:00:00,LAKE-2,COTONS,TONS,0.03735745
2022-05-05 00:00:00,LAKE-2,COTONS,TONS,0.019884736
2022-05-06 00:00:00,LAKE-2,COTONS,TONS,0.015967166
2022-05-07 00:00:00,LAKE-2,COTONS,TONS,0.013325965
2022-05-09 00:00:00,LAKE-2,COTONS,TONS,0.018344374
2022-05-10 00:00:00,LAKE-2,COTONS,TONS,0.01282424
2022-05-11 00:00:00,LAKE-2,COTONS,TONS,0.013652816
2022-05-12 00:00:00,LAKE-2,COTONS,TONS,0.017013542
2022-05-13 00:00:00,LAKE-2,COTONS,TONS,0.007648358
2022-05-14 00:00:00,LAKE-2,COTONS,TONS,0.011575658
2022-05-15 00:00:00,LAKE-2,COTONS,TONS,0.010795458
