TimeStamp,Source,Parameter,Units,Value
2022-01-06 00:00:00,LAKE-4,UNITONBA,MIN,56.16666667
2022-01-07 00:00:00,LAKE-4,UNITONBA,MIN,59.85714286
2022-01-08 00:00:00,LAKE-4,UNITONBA,MIN,38
2022-01-09 00:00:00,LAKE-4,UNITONBA,MIN,53.25
2022-01-10 00:00:00,LAKE-4,UNITONBA,MIN,56
2022-01-11 00:00:00,LAKE-4,UNITONBA,MIN,52.3
2022-01-12 00:00:00,LAKE-4,UNITONBA,MIN,58.4
2022-01-13 00:00:00,LAKE-4,UNITONBA,MIN,48.9
2022-01-14 00:00:00,LAKE-4,UNITONBA,MIN,51.78571429
2022-01-15 00:00:00,LAKE-4,UNITONBA,MIN,59.6875
2022-01-16 00:00:00,LAKE-4,UNITONBA,MIN,55.33333333
2022-01-17 00:00:00,LAKE-4,UNITONBA,MIN,60
2022-01-18 00:00:00,LAKE-4,UNITONBA,MIN,60
2022-01-19 00:00:00,LAKE-4,UNITONBA,MIN,55.25
2022-01-20 00:00:00,LAKE-4,UNITONBA,MIN,60
2022-01-21 00:00:00,LAKE-4,UNITONBA,MIN,57.55555556
2022-01-22 00:00:00,LAKE-4,UNITONBA,MIN,50.21428571
2022-01-23 00:00:00,LAKE-4,UNITONBA,MIN,52.75
2022-01-24 00:00:00,LAKE-4,UNITONBA,MIN,56.75
2022-01-25 00:00:00,LAKE-4,UNITONBA,MIN,60
2022-01-26 00:00:00,LAKE-4,UNITONBA,MIN,55.33333333
2022-01-27 00:00:00,LAKE-4,UNITONBA,MIN,56.66666667
2022-01-28 00:00:00,LAKE-4,UNITONBA,MIN,60
2022-01-29 00:00:00,LAKE-4,UNITONBA,MIN,60
2022-01-30 00:00:00,LAKE-4,UNITONBA,MIN,59.95833333
2022-01-31 00:00:00,LAKE-4,UNITONBA,MIN,53.625
2022-02-01 00:00:00,LAKE-4,UNITONBA,MIN,59.22727273
2022-02-02 00:00:00,LAKE-4,UNITONBA,MIN,36
2022-02-03 00:00:00,LAKE-4,UNITONBA,MIN,56.63636364
2022-02-04 00:00:00,LAKE-4,UNITONBA,MIN,56.47368421
2022-02-05 00:00:00,LAKE-4,UNITONBA,MIN,58.38461538
2022-02-06 00:00:00,LAKE-4,UNITONBA,MIN,55.33333333
2022-02-07 00:00:00,LAKE-4,UNITONBA,MIN,53.22222222
2022-02-08 00:00:00,LAKE-4,UNITONBA,MIN,57.53846154
2022-02-09 00:00:00,LAKE-4,UNITONBA,MIN,58.70588235
2022-02-10 00:00:00,LAKE-4,UNITONBA,MIN,55.5
2022-02-11 00:00:00,LAKE-4,UNITONBA,MIN,55.38888889
2022-02-12 00:00:00,LAKE-4,UNITONBA,MIN,56.875
2022-02-13 00:00:00,LAKE-4,UNITONBA,MIN,56.5
2022-02-14 00:00:00,LAKE-4,UNITONBA,MIN,58.57142857
2022-02-15 00:00:00,LAKE-4,UNITONBA,MIN,47.23076923
2022-02-16 00:00:00,LAKE-4,UNITONBA,MIN,52
2022-02-17 00:00:00,LAKE-4,UNITONBA,MIN,53
2022-02-22 00:00:00,LAKE-4,UNITONBA,MIN,45.5
2022-02-24 00:00:00,LAKE-4,UNITONBA,MIN,48.72727273
2022-02-25 00:00:00,LAKE-4,UNITONBA,MIN,53.26666667
2022-02-26 00:00:00,LAKE-4,UNITONBA,MIN,50.33333333
2022-02-27 00:00:00,LAKE-4,UNITONBA,MIN,31.5
2022-02-28 00:00:00,LAKE-4,UNITONBA,MIN,54.875
2022-03-01 00:00:00,LAKE-4,UNITONBA,MIN,56.16666667
2022-03-02 00:00:00,LAKE-4,UNITONBA,MIN,13
2022-03-04 00:00:00,LAKE-4,UNITONBA,MIN,45.6
2022-03-07 00:00:00,LAKE-4,UNITONBA,MIN,50
2022-03-08 00:00:00,LAKE-4,UNITONBA,MIN,47.83333333
2022-03-09 00:00:00,LAKE-4,UNITONBA,MIN,54.8125
2022-03-10 00:00:00,LAKE-4,UNITONBA,MIN,47.83333333
2022-03-11 00:00:00,LAKE-4,UNITONBA,MIN,48.92307692
2022-03-12 00:00:00,LAKE-4,UNITONBA,MIN,42
2022-03-14 00:00:00,LAKE-4,UNITONBA,MIN,54.85714286
2022-03-15 00:00:00,LAKE-4,UNITONBA,MIN,46.42857143
2022-03-16 00:00:00,LAKE-4,UNITONBA,MIN,48.33333333
2022-03-17 00:00:00,LAKE-4,UNITONBA,MIN,55.28571429
2022-03-18 00:00:00,LAKE-4,UNITONBA,MIN,51
2022-03-19 00:00:00,LAKE-4,UNITONBA,MIN,48.85714286
2022-03-20 00:00:00,LAKE-4,UNITONBA,MIN,50.42857143
2022-03-21 00:00:00,LAKE-4,UNITONBA,MIN,57.1
2022-03-23 00:00:00,LAKE-4,UNITONBA,MIN,41
2022-03-24 00:00:00,LAKE-4,UNITONBA,MIN,38.33333333
2022-03-25 00:00:00,LAKE-4,UNITONBA,MIN,47.54545455
2022-03-26 00:00:00,LAKE-4,UNITONBA,MIN,43.42857143
2022-03-27 00:00:00,LAKE-4,UNITONBA,MIN,57.9
2022-03-28 00:00:00,LAKE-4,UNITONBA,MIN,18
2022-04-01 00:00:00,LAKE-4,UNITONBA,MIN,47.66666667
2022-04-02 00:00:00,LAKE-4,UNITONBA,MIN,47.33333333
2022-04-03 00:00:00,LAKE-4,UNITONBA,MIN,51.57142857
2022-04-04 00:00:00,LAKE-4,UNITONBA,MIN,51.66666667
2022-04-06 00:00:00,LAKE-4,UNITONBA,MIN,57.4
2022-05-09 00:00:00,LAKE-4,UNITONBA,MIN,57.72727273
2022-05-10 00:00:00,LAKE-4,UNITONBA,MIN,56.30769231
2022-05-11 00:00:00,LAKE-4,UNITONBA,MIN,54.28571429
2022-05-12 00:00:00,LAKE-4,UNITONBA,MIN,57
2022-05-13 00:00:00,LAKE-4,UNITONBA,MIN,56.54545455
2022-05-14 00:00:00,LAKE-4,UNITONBA,MIN,53.875
2022-05-15 00:00:00,LAKE-4,UNITONBA,MIN,52.9
2022-05-16 00:00:00,LAKE-4,UNITONBA,MIN,55.5
2022-05-17 00:00:00,LAKE-4,UNITONBA,MIN,58.77777778
2022-05-18 00:00:00,LAKE-4,UNITONBA,MIN,55.6
2022-05-19 00:00:00,LAKE-4,UNITONBA,MIN,53.66666667
2022-05-21 00:00:00,LAKE-4,UNITONBA,MIN,55.5
2022-05-22 00:00:00,LAKE-4,UNITONBA,MIN,41.66666667
2022-05-23 00:00:00,LAKE-4,UNITONBA,MIN,52.7
2022-05-24 00:00:00,LAKE-4,UNITONBA,MIN,54.1
2022-05-26 00:00:00,LAKE-4,UNITONBA,MIN,58.27777778
2022-05-27 00:00:00,LAKE-4,UNITONBA,MIN,54.8
2022-05-28 00:00:00,LAKE-4,UNITONBA,MIN,53.93333333
2022-05-29 00:00:00,LAKE-4,UNITONBA,MIN,51.18181818
2022-05-30 00:00:00,LAKE-4,UNITONBA,MIN,55.3
2022-05-31 00:00:00,LAKE-4,UNITONBA,MIN,52.78571429
2022-06-01 00:00:00,LAKE-4,UNITONBA,MIN,56.85714286
2022-06-02 00:00:00,LAKE-4,UNITONBA,MIN,32
2022-06-03 00:00:00,LAKE-4,UNITONBA,MIN,54.3
2022-06-04 00:00:00,LAKE-4,UNITONBA,MIN,57.66666667
2022-06-05 00:00:00,LAKE-4,UNITONBA,MIN,57.11111111
2022-06-06 00:00:00,LAKE-4,UNITONBA,MIN,56.38461538
2022-06-07 00:00:00,LAKE-4,UNITONBA,MIN,58.46153846
2022-06-08 00:00:00,LAKE-4,UNITONBA,MIN,56.375
2022-06-09 00:00:00,LAKE-4,UNITONBA,MIN,58.4
2022-06-10 00:00:00,LAKE-4,UNITONBA,MIN,57.5
2022-06-11 00:00:00,LAKE-4,UNITONBA,MIN,31
2022-06-12 00:00:00,LAKE-4,UNITONBA,MIN,57.1
2022-06-13 00:00:00,LAKE-4,UNITONBA,MIN,50
2022-06-14 00:00:00,LAKE-4,UNITONBA,MIN,46.875
2022-06-16 00:00:00,LAKE-4,UNITONBA,MIN,56.53846154
2022-06-23 00:00:00,LAKE-4,UNITONBA,MIN,58.66666667
2022-06-24 00:00:00,LAKE-4,UNITONBA,MIN,56.1
2022-06-25 00:00:00,LAKE-4,UNITONBA,MIN,58.85714286
2022-06-26 00:00:00,LAKE-4,UNITONBA,MIN,55.90909091
2022-06-27 00:00:00,LAKE-4,UNITONBA,MIN,46.25
2022-06-28 00:00:00,LAKE-4,UNITONBA,MIN,55.11111111
2022-06-29 00:00:00,LAKE-4,UNITONBA,MIN,58.6
2022-06-30 00:00:00,LAKE-4,UNITONBA,MIN,56.84615385
2022-07-01 00:00:00,LAKE-4,UNITONBA,MIN,53.66666667
2022-07-02 00:00:00,LAKE-4,UNITONBA,MIN,55.75
2022-07-03 00:00:00,LAKE-4,UNITONBA,MIN,55.44444444
2022-07-04 00:00:00,LAKE-4,UNITONBA,MIN,48.875
2022-07-05 00:00:00,LAKE-4,UNITONBA,MIN,54.4
2022-07-07 00:00:00,LAKE-4,UNITONBA,MIN,57.07692308
2022-07-08 00:00:00,LAKE-4,UNITONBA,MIN,55.07692308
2022-07-09 00:00:00,LAKE-4,UNITONBA,MIN,55.4
2022-07-10 00:00:00,LAKE-4,UNITONBA,MIN,50.77777778
2022-07-11 00:00:00,LAKE-4,UNITONBA,MIN,57.73333333
2022-07-12 00:00:00,LAKE-4,UNITONBA,MIN,57.4
2022-07-13 00:00:00,LAKE-4,UNITONBA,MIN,56.86666667
2022-07-14 00:00:00,LAKE-4,UNITONBA,MIN,54.58333333
2022-07-15 00:00:00,LAKE-4,UNITONBA,MIN,55
2022-07-16 00:00:00,LAKE-4,UNITONBA,MIN,53.07692308
2022-07-17 00:00:00,LAKE-4,UNITONBA,MIN,55.30769231
2022-07-18 00:00:00,LAKE-4,UNITONBA,MIN,58.64285714
2022-07-19 00:00:00,LAKE-4,UNITONBA,MIN,57.6875
2022-07-20 00:00:00,LAKE-4,UNITONBA,MIN,46.5
2022-07-21 00:00:00,LAKE-4,UNITONBA,MIN,51.5
2022-07-22 00:00:00,LAKE-4,UNITONBA,MIN,60
2022-07-23 00:00:00,LAKE-4,UNITONBA,MIN,57.21428571
2022-07-24 00:00:00,LAKE-4,UNITONBA,MIN,57.92307692
2022-07-26 00:00:00,LAKE-4,UNITONBA,MIN,53.75
2022-07-27 00:00:00,LAKE-4,UNITONBA,MIN,53.33333333
2022-07-28 00:00:00,LAKE-4,UNITONBA,MIN,56.23076923
2022-07-29 00:00:00,LAKE-4,UNITONBA,MIN,58.8125
2022-07-30 00:00:00,LAKE-4,UNITONBA,MIN,56.6
2022-07-31 00:00:00,LAKE-4,UNITONBA,MIN,55.3125
2022-08-01 00:00:00,LAKE-4,UNITONBA,MIN,55.26666667
2022-08-02 00:00:00,LAKE-4,UNITONBA,MIN,54.08333333
2022-08-03 00:00:00,LAKE-4,UNITONBA,MIN,48.83333333
2022-08-04 00:00:00,LAKE-4,UNITONBA,MIN,54.83333333
2022-08-05 00:00:00,LAKE-4,UNITONBA,MIN,57.71428571
2022-08-06 00:00:00,LAKE-4,UNITONBA,MIN,54.82352941
2022-08-07 00:00:00,LAKE-4,UNITONBA,MIN,56.14285714
2022-08-08 00:00:00,LAKE-4,UNITONBA,MIN,51.75
2022-08-09 00:00:00,LAKE-4,UNITONBA,MIN,55.18181818
2022-08-10 00:00:00,LAKE-4,UNITONBA,MIN,56.5
2022-08-11 00:00:00,LAKE-4,UNITONBA,MIN,58.33333333
2022-08-12 00:00:00,LAKE-4,UNITONBA,MIN,55.58333333
2022-08-13 00:00:00,LAKE-4,UNITONBA,MIN,53.83333333
2022-08-14 00:00:00,LAKE-4,UNITONBA,MIN,55.28571429
2022-08-15 00:00:00,LAKE-4,UNITONBA,MIN,55.4375
2022-08-16 00:00:00,LAKE-4,UNITONBA,MIN,53.6
2022-08-19 00:00:00,LAKE-4,UNITONBA,MIN,56
2022-08-20 00:00:00,LAKE-4,UNITONBA,MIN,54.66666667
2022-08-21 00:00:00,LAKE-4,UNITONBA,MIN,56.25
2022-08-23 00:00:00,LAKE-4,UNITONBA,MIN,52.15384615
2022-08-24 00:00:00,LAKE-4,UNITONBA,MIN,59.46666667
2022-08-25 00:00:00,LAKE-4,UNITONBA,MIN,46
2022-08-27 00:00:00,LAKE-4,UNITONBA,MIN,53.66666667
2022-08-28 00:00:00,LAKE-4,UNITONBA,MIN,52.33333333
2022-08-29 00:00:00,LAKE-4,UNITONBA,MIN,60
2022-09-01 00:00:00,LAKE-4,UNITONBA,MIN,54.36363636
2022-09-02 00:00:00,LAKE-4,UNITONBA,MIN,54.18181818
2022-09-03 00:00:00,LAKE-4,UNITONBA,MIN,57.3
2022-09-04 00:00:00,LAKE-4,UNITONBA,MIN,51.81818182
2022-09-05 00:00:00,LAKE-4,UNITONBA,MIN,54.5
2022-09-06 00:00:00,LAKE-4,UNITONBA,MIN,52.55555556
2022-09-07 00:00:00,LAKE-4,UNITONBA,MIN,41.66666667
2022-09-08 00:00:00,LAKE-4,UNITONBA,MIN,57
2022-09-09 00:00:00,LAKE-4,UNITONBA,MIN,55.45454545
2022-09-10 00:00:00,LAKE-4,UNITONBA,MIN,56.11111111
2022-09-12 00:00:00,LAKE-4,UNITONBA,MIN,57.76923077
2022-09-15 00:00:00,LAKE-4,UNITONBA,MIN,51.5
2022-09-16 00:00:00,LAKE-4,UNITONBA,MIN,56.58333333
2022-09-17 00:00:00,LAKE-4,UNITONBA,MIN,56.55555556
2022-09-19 00:00:00,LAKE-4,UNITONBA,MIN,53.11111111
2022-09-20 00:00:00,LAKE-4,UNITONBA,MIN,57.57142857
2022-09-21 00:00:00,LAKE-4,UNITONBA,MIN,55.61111111
2022-09-22 00:00:00,LAKE-4,UNITONBA,MIN,56.64285714
